model,nominal,coverage,average_width
foundation_model,0.8,0.7767857142857143,92.06145247958955
sarimax,0.8,0.9107142857142857,180.82957409943802
sarimax_calendar,0.8,0.9107142857142857,181.12804856917134
sarimax_target_only,0.8,0.9107142857142857,182.13543057768143
