model,aic,bic,loglikelihood,n_params
sarimax_target_only,32229.729602460706,32259.598824340428,-16109.864801230353,5
sarimax_calendar,32235.718688636007,32295.457132395455,-16107.859344318003,10
sarimax,32242.79619435778,32332.40385999695,-16106.39809717889,15
