model,MAE,RMSE,MASE,Bias
foundation_model,33.05669608191838,65.50841199356262,0.6187637401592065,-18.980889918312194
feature_model,36.702393142003864,64.29985577896777,0.6870048354820941,-5.479265731478492
sarimax,37.762135042342095,64.77742236127364,0.7068413569611837,-3.9558808904880904
seasonal_mean_profile,38.0865170142131,63.59429903714036,0.7129132221487307,-3.0629798215582515
seasonal_naive_weekly,42.63392857142857,79.29026483676037,0.7980328413693867,-10.818452380952381
mean,50.319095845289134,74.9057320022781,0.9418857791929035,-3.1088025652599205
seasonal_naive_daily,86.95932539682539,129.2320303126518,1.6277270205988037,64.01289682539682
naive,250.6398809523809,258.81973857632954,4.69154176167001,247.7628968253968
drift,266.37295305016687,274.6111124071479,4.9860374520831074,264.5006776132961
